0.000303,0.000420,-0.000000,-0.000002,0.000002,0.000226,83.114000
0.000984,0.000687,-0.000003,-0.000010,-0.000020,0.000155,83.218000
0.001344,0.001664,-0.000008,-0.000021,-0.000040,0.000674,83.319000
0.004377,0.001193,-0.000013,-0.000027,-0.000055,0.000619,83.415000
0.001536,-0.004372,-0.000018,-0.000025,-0.000059,-0.001318,83.521000
-0.003556,-0.002102,-0.000023,-0.000024,-0.000059,0.000440,83.616000
-0.007798,0.006336,-0.000028,-0.000020,-0.000054,0.003641,83.717000
-0.011866,0.011630,-0.000044,-0.000019,-0.000048,0.003024,83.816000
-0.015921,0.016412,-0.000059,-0.000018,-0.000052,0.002990,83.916000
-0.019369,0.021710,-0.000074,-0.000014,-0.000045,0.003121,84.016000
-0.015537,0.029692,-0.000365,-0.000095,-0.002311,0.006224,84.117000
0.030043,0.036591,-0.000736,-0.002285,0.001362,0.011233,84.221000
0.082514,0.045874,-0.001062,-0.001921,0.000285,0.011917,84.315000
0.141340,0.056872,-0.001479,0.001211,0.002307,0.014582,84.417000
0.207563,0.058163,-0.001913,0.002731,0.002114,0.013855,84.515000
0.274189,0.060085,-0.002348,0.007598,0.002229,0.014684,84.615000
0.341212,0.064132,-0.002785,0.010599,0.002330,0.040676,84.715000
0.420982,0.081020,-0.004832,0.012608,0.000427,0.111341,84.819000
0.493566,0.098419,-0.006729,0.008590,-0.002183,0.185902,84.915000
0.563180,0.124378,-0.010035,0.008532,-0.001177,0.287490,85.017000
0.628670,0.168368,-0.013366,0.012684,0.001215,0.387700,85.121000
0.705474,0.175541,-0.016991,0.013303,-0.002084,0.428698,85.215000
0.787820,0.205267,-0.020342,0.009534,-0.000728,0.471366,85.320000
0.868316,0.224906,-0.023736,0.009771,-0.001473,0.491693,85.414000
0.936723,0.262850,-0.027010,0.010806,-0.000487,0.508145,85.515000
1.007455,0.297044,-0.030395,0.010307,0.000675,0.514792,85.619000
1.077747,0.331183,-0.033703,0.012346,-0.000480,0.519996,85.716000
1.148160,0.364905,-0.037028,0.011134,-0.000285,0.523357,85.818000
1.227794,0.397387,-0.040533,0.015942,0.000543,0.518263,85.915000
1.289000,0.450237,-0.043432,0.018923,-0.001224,0.525678,86.017000
1.360435,0.480159,-0.047247,0.019526,-0.000368,0.523089,86.119000
1.419890,0.500621,-0.051155,0.017291,0.000784,0.522449,86.217000
1.514297,0.543986,-0.055018,0.016784,0.000242,0.529578,86.320000
1.592327,0.571048,-0.059155,0.016443,0.002548,0.529144,86.416000
1.665221,0.611623,-0.062573,0.017535,-0.000898,0.529465,86.519000
1.737173,0.652312,-0.066206,0.016790,0.002382,0.529550,86.620000
1.809374,0.698344,-0.068614,0.012834,0.001669,0.532907,86.717000
1.883405,0.746451,-0.071116,0.012077,0.002331,0.560053,86.818000
1.955495,0.799408,-0.071176,0.012036,-0.000986,0.625401,86.918000
2.020357,0.873397,-0.071247,0.013272,0.000723,0.715229,87.018000
2.088717,0.937710,-0.071058,0.013917,0.000759,0.809063,87.118000
2.126532,1.007131,-0.070314,0.021223,-0.000878,0.913579,87.220000
2.201782,1.051660,-0.069678,0.013239,-0.001128,0.995456,87.318000
2.272203,1.105664,-0.069589,0.017001,0.000100,1.048714,87.419000
2.315294,1.169181,-0.068321,0.014603,-0.001984,1.083260,87.519000
2.357121,1.233284,-0.066497,0.012437,-0.004968,1.103923,87.618000
2.376943,1.304677,-0.064692,0.014013,-0.003047,1.150670,87.720000
2.392702,1.376932,-0.062729,0.017147,-0.004748,1.208304,87.816000
2.404800,1.450331,-0.061038,0.011765,-0.001872,1.263407,87.915000
2.419726,1.521709,-0.059492,0.010258,-0.000928,1.296632,88.016000
2.445223,1.592749,-0.057930,0.011606,-0.000962,1.315451,88.119000
2.463190,1.661396,-0.056795,0.009506,0.000013,1.351713,88.218000
2.475916,1.731422,-0.056105,0.006426,-0.001349,1.408869,88.317000
2.486431,1.801170,-0.055421,0.009064,-0.001333,1.443840,88.416000
2.495653,1.871122,-0.054638,0.006258,0.000301,1.466004,88.520000
2.510528,1.944106,-0.053957,0.006768,0.001083,1.477525,88.619000
